date, pm25
2022/4/1, 60
2022/4/2, 53
2022/4/3, 68
2022/4/4, 62
2022/4/5, 44
2022/4/10, 62
2022/4/11, 72
2022/4/12, 71
2022/4/13, 42
2022/4/14, 34
2022/3/1, 124
2022/3/2, 63
2022/3/3, 51
2022/3/4, 53
2022/3/5, 49
2022/3/6, 47
2022/3/7, 36
2022/3/8, 41
2022/3/9, 134
2022/3/10, 57
2022/3/11, 92
2022/3/12, 40
2022/3/13, 41
2022/3/14, 53
2022/3/15, 52
2022/3/16, 83
2022/3/17, 144
2022/3/18, 67
2022/3/19, 81
2022/3/20, 69
2022/3/21, 45
2022/3/22, 49
2022/3/23, 69
2022/3/24, 110
2022/3/25, 56
2022/3/26, 73
2022/3/27, 38
2022/3/28, 54
2022/3/29, 52
2022/3/30, 53
2022/3/31, 69
2022/2/1, 199
2022/2/2, 268
2022/2/3, 108
2022/2/4, 104
2022/2/5, 54
2022/2/6, 31
2022/2/7, 50
2022/2/8, 103
2022/2/11, 65
2022/2/12, 76
2022/2/13, 111
2022/2/14, 149
2022/2/15, 48
2022/2/16, 105
2022/2/17, 140
2022/2/18, 137
2022/2/19, 143
2022/2/20, 74
2022/2/21, 58
2022/2/22, 56
2022/2/23, 78
2022/2/24, 91
2022/2/25, 89
2022/2/26, 93
2022/2/27, 104
2022/2/28, 100
2022/1/3, 74
2022/1/4, 58
2022/1/5, 75
2022/1/6, 95
2022/1/7, 110
2022/1/8, 109
2022/1/9, 167
2022/1/10, 147
2022/1/11, 156
2022/1/12, 51
2022/1/13, 78
2022/1/14, 71
2022/1/15, 70
2022/1/16, 83
2022/1/17, 89
2022/1/18, 119
2022/1/19, 106
2022/1/20, 56
2022/1/21, 86
2022/1/22, 73
2022/1/23, 110
2022/1/24, 123
2022/1/25, 149
2022/1/26, 158
2022/1/27, 66
2022/1/28, 94
2022/1/29, 125
2022/1/30, 69
2022/1/31, 140
2021/10/1, 47
2021/10/2, 56
2021/10/3, 84
2021/10/4, 84
2021/10/5, 69
2021/10/6, 53
2021/10/7, 86
2021/10/8, 111
2021/10/9, 120
2021/10/10, 75
2021/10/11, 71
2021/10/12, 76
2021/10/13, 86
2021/10/14, 98
2021/10/15, 118
2021/10/16, 105
2021/10/17, 112
2021/10/18, 122
2021/10/19, 136
2021/10/20, 67
2021/10/21, 83
2021/10/22, 49
2021/10/23, 67
2021/10/24, 71
2021/10/25, 73
2021/10/26, 52
2021/10/27, 96
2021/10/28, 98
2021/10/29, 87
2021/10/30, 79
2021/10/31, 95
2021/11/1, 114
2021/11/2, 89
2021/11/3, 75
2021/11/4, 76
2021/11/5, 167
2021/11/6, 174
2021/11/7, 214
2021/11/8, 200
2021/11/9, 122
2021/11/10, 137
2021/11/11, 129
2021/11/12, 63
2021/11/13, 130
2021/11/14, 93
2021/11/15, 67
2021/11/16, 58
2021/11/17, 93
2021/11/18, 110
2021/11/19, 108
2021/11/20, 120
2021/11/21, 48
2021/11/22, 66
2021/11/23, 62
2021/11/24, 56
2021/11/25, 68
2021/11/26, 92
2021/11/27, 96
2021/11/28, 124
2021/11/29, 49
2021/11/30, 70
2021/12/1, 80
2021/12/2, 37
2021/12/3, 46
2021/12/4, 155
